LearnerID,InitialEnglishLevel,DailyStudyTime,StudyFrequency,VocabularyMastery,GrammarMastery,ListeningComprehension,OralExpression,ReadingAbility,WritingAbility,Memorization,Understanding,Application,Analysis,Evaluation,Creation,LearningPathCategory
L0001,Elementary,0.9,1,62.67651511187974,29.934747419608847,43.98713510160172,38.111276523644165,45.7552408240822,38.3221760571171,3,1,2,2,2,2,Beginner_Path
L0002,Advanced,0.9,4,92.88728003009837,74.95709436505747,100.0,83.09127105106434,84.97413486094315,63.03553738356901,4,3,4,3,4,4,UpperIntermediate_Path
L0003,Intermediate,1.3,1,48.42883381286729,43.18018003931781,75.07304357473262,52.68068491707908,68.74739621580257,59.708688593753806,2,2,3,3,2,3,Elementary_Path
L0004,Intermediate,1.8,2,46.668716452221936,64.95973678846445,65.23385214658508,84.32386204677499,56.91852370546862,64.87834421307994,2,3,3,3,2,3,Elementary_Path
L0005,Beginner,2.1,1,24.48487750941071,28.017381512486075,36.3557329466428,33.700998947921136,22.068464975458497,39.46374244758536,1,1,1,1,1,1,Beginner_Path
L0006,Beginner,0.9,2,46.620518347584735,36.24175684744613,60.89523036103863,54.77625442156135,39.516803212656555,28.59769504531986,2,1,2,1,2,2,Beginner_Path
L0007,Beginner,2.5,2,51.88596823087008,31.192365961381956,37.49589872245344,25.333680048933903,24.629739988720708,23.64987901813931,2,1,1,1,2,1,Beginner_Path
L0008,Upper-Intermediate,1.3,1,93.4936214138638,57.30534733987187,58.37967700072561,63.103490338356366,96.84230601754902,74.94497531780321,4,2,3,4,3,3,Intermediate_Path
L0009,Intermediate,1.5,6,68.4310533232324,53.316995768283576,69.58389009957068,51.13395468151799,50.34332086152769,56.414789529346734,3,2,3,2,3,2,Elementary_Path
L0010,Intermediate,1.0,3,71.62838577534986,60.99103331863595,53.952253263584836,49.543106885534776,58.381352346422695,53.7420737234167,3,3,2,2,3,2,Elementary_Path
L0011,Beginner,0.5,1,34.19983667346315,22.922406074566478,54.88608793499175,35.321012658415015,42.58202734701137,53.22463342993791,1,1,2,2,1,2,Beginner_Path
L0012,Advanced,2.1,5,78.43584183256144,93.09112790731379,91.18862303326581,80.91221797278502,87.1134183932077,75.53199905818668,3,4,4,4,4,4,UpperIntermediate_Path
L0013,Upper-Intermediate,2.0,6,83.50079332417553,61.50279078522304,86.03713240544197,64.80658407265426,72.09969598533807,87.75037021127466,4,3,3,3,3,3,Intermediate_Path
